company,total_complaints
After still paying found that several holes were found on the fabric of the mattress.,0
Ive updated your preferences and your request will be processed immediately. Your decision will not apply to campaigns that are currently in progress.,0
Repeated calls to AMEX were an exercise in futility! No one from AMEX CSR ever contacted me in whichever way/form! All contacts were instigated by me!,0
I have had an excellent payment history but i was laid off twice last year. However,0
GM has rebilled me for a XXXX time as of XX/XX/XXXX. When I contacted customer service,0
Today is Monday,0
XX/XX/23 : I called CapitalOne,0
I sent XXXX a certified letter within the warranty period asking for them to return my money in exchange for me giving back the XXXX. The certified letter was delivered to them but till this day they have not responded.,0
i closed the account. but now they are still charging me interest and late fee on the earlier applied interest.,0
Well,0
Disputed Transaction Dispute case number : XXXX Transaction date : XX/XX/XXXX Merchant name : XXXX XXXX XXXX XXXX : {$1600.00} Temporary credit : {$1600.00} I provided several emails with proof of why the amount needs to be returned to me.,0
I called Chase and was informed that even though I meet the terms and conditions on each account that I was only able to receive XXXX miles for XXXX account.,0
4. Original copy of the Note and Mortgage deed as they are not to be separated at anytime. I need them both as they are mine.,0
XX/XX/XXXX : I logged into my account and noticed this fraudulent transaction notified barclays via customer service,0
2. In XX/XX/2023,0
1. Customer service reps should communicate the need to add additional money to a pay off amount and educate customers when they ask for a pay off amount. Otherwise,0
XXXX also told that my card was blocked at XXXX XXXX since I used XXXX XXXX instead of the physical card,0
I tried reaching out to the original company XXXX XXXX but they refused to refund me or provide me a hotel room.,0
TO THAT POINT,0
We then came to the counter to pay them in Cash for the amount of XXXX XXXX which is {$31000.00} USD and XXXX XXXX which is {$610.00} USD. I paid XXXX XXXX in cash even as XXXX dont have denomination of XXXX cent and we did not have the cent so we rounded up. We was supposed to pay only XXXX XXXX. They then allowed us to discharged and go home. Please see the email below they sent on XX/XX/XXXXXXXX  to me confirming the cash payment and let us go on discharge day just ' minutes after the discharge.,0
I have previously requested that they reissue past rewards that have not expired ( 90 days from the date of issue ) and that have not been redeemed. I dont know what the result was because I have not been able to get that information from AAFES XXXX,0
I have now have had multiple run-ins with this financial institution the first being in how they are still charging me overdraft fees and the amounts of which I was being charged these fees to now telling me that I didn't understand what fraud was and they would not be reaching out to the merchant to justify the sleight of hand that I was dealing with. I don't know when Banks decided they were going to be judging jury when dealing with people 's finances there are specific avenues available to people with credit cards that allow you to be protected. For my bank to tell me that I could not exercise those avenues to protect myself I feel is unjust.,0
Later that day at XXXX,0
The channel it is displayed on has tv shows that are rated PG. Which means this channel is watched mostly by families and children. Theyre preying on the minorities. This shouldnt be allowed. They should be held accountable.,0
"Mistakenly I did not \\\" uncheck '' the monthly auto pay of XXXX dollars for the pay date of XX/XX/2023",0
I never heard a more straight forward lie in my life. That is precisely their job.,0
To which time I was XXXX in Federal prison making this an impossibility.,0
"I called Chase customer service on XXXX to report the issue. Chase sent a letter on XXXX saying they \\\" researched the purchases '' and decided that \\\" the charges are not categorized as the XXXX property ''",0
If this is only for the purpose of verifying my identity,0
My concern and complaint is that due to no fault of my own this closure of the comenity.net credit card is going to have a negative impact upon my credit history as the comenity.net credit card is my longest standing credit card with several years of positive history. Additionally if I activate the new bread rewards card on XX/XX/XXXX it will reflect on my credit the new account and I will lose all of the positive history that I previously worked very hard for.,0
My statement closing XXXX XXXXXXXX XXXX,0
"Therefore I am hereby filing this complaint to be refunded for my {$78.00} because the US Post Office did not render the service it was paid for regardless of whether \\\" all sales are final ''. The amount paid is significant and should be refunded as the package was sent back to me and dropped under pouring rain.",0
The main issues that concerns me are that ( 1 ) After multiple calls,0
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,0
In accordance with the FCRA,0
I hope that you will make a decision based on the facts above since there is no documentation from Discover of an unpaid charge with XXXX XXXX.,0
The first bogus order was delivered sometime between XXXX XXXX XXXX XXXX XXXX. Wayfair apparently realized that something was wrong and cancelled the second and third orders.,0
Thanks for any assistance.,0
Just received it. Thank you XXXX.,0
Billing details : Transaction date - XXXX. Transaction amount - {$340.00}.,0
IMPORTANT POINTS : -The person I chatted with failed to let me know that I could file a complaint with Care Credit. I just came across this the other day. Had I known,0
- I made my final payment and CLOSED my account oXXXX XXXX. On XX/XX/XXXX alerts for a due payment continued to be sent. I called Synchrony and after being passed around to a variety of departments,0
I hereby file this complaint and request that the bank promptly restore my linked card so that I can make manual payments once again. Additionally,0
CFPB,0
Late payments are very good at XXXX out of XXXX payments paid on time and never late Income is average for the demographic.,0
Please let me know if there was anything Illegal beyond the unethical way in which this was handled.,0
Hold them accountable for the fraudulent activities and breaches of contract.,0
Due to the response I received by Discover Credit Operations Team are subject to criminal liability for violating 15 USC as I have proof that I was discriminated against due to the response I received.,0
Forcing me to go to the bank.,0
As I already have an existing account w AMEX they have all my info and have no reason to show me this offer if I wasnt eligible.,0
XXXX : Called the number again and spoke to 4 different people in 4 different departments. After over an hour of trying to get information they hung up on me again without providing any information.,0
4. On XX/XX/XXXX a prov credit was posted for a FRAUDULENT transaction XXXX XXXX for {$64.00}. The fact remains it was NOT deducted but instead ADDED to my monthly statement due on XX/XX/XXXX.,0
( 2 ) There is no phone number for the customer to directly contact someone who can actually fix the issue. The fraud department just says there is no way to contact and they have to escalate tickets with notes which the actual people who can make the fixes do not seem to read.,0
"Tried again to speak with a \\\" manager '' On Thursday XX/XX/XXXX ( XXXX XXXX. Employee number XXXX ) he did nothing to help either. Didn't want to hear my issue",0
On XXXX,0
I then received a call back from security and they asked for more documents with different requirements. I even opened a personal checking account at the billing address as they instructed. I then attached more documents as requested.,0
I am confirming that we did NOT make this charge. We were shopping at the XXXX XXXX and the XXXX XXXX in question is over a mile away. The authorized charges made on that day by my daughters card were from XXXX XXXX for {$6.00} made at XXXXXXXX XXXX CST and a charge was made at XXXX XXXX  for {$5.00} at XXXX XXXX  CST.,0
I made a payment on the 13th ( three days early ) for {$4600.00},0
The couch purchase in question came with an estimated delivery date of XXXX weeks. XXXX weeks is approximately 6 months from the date of sale,0
I WENT TO A LOCAL BRANCH IN PERSON TO SAY THE ABOVE AND RECEIVED PABLUM BY WAY OF COMPANY RESPONSE.,0
Action required : Please review recent card activity Please review these transactions and respond as soon as possible. If we don't hear back from you,0
I again did not agree to this. Capital One has no basis for denying the claim,0
XX/XX/23 - {$0.00} interest charge was applied which we believe is violating the Fair Credit Billing Act on disputed charges.,0
XXXX. ) I was immediately charged for the entire trip,0
XXXX  XXXX has record that Comenity Bank/Bread financial 's payment was paid in full,0
Instead of removing the mistake right away,0
I opened this card for the cash-back benefits for Apple transactions,0
Today XX/XX/23 I requested the balance transfer to be cancelled. The reasons being the delay with validating my identity and lengthy processing time I will not only be paying a balance transfer fee and accruing interest at XXXX XXXX.,0
If your company fails to respond to this validation request within 30 days from the date of your receipt,0
When this came due I was in the XXXX  with XXXX and was not aware that the 2 year period ended.,0
After a few minutes of standing on the XXXX tarmac without any explanation as to why we could not board,0
There has been a long history of credit for 15-16 years with great payment history.,0
I never received the wedding dress that was fully paid for and has since been forced to obtain a replacement dress.,0
On the web archive version of the site XXXX XXXX XXXX XXXX XXXX XXXX XXXX,0
I have auto pay set up on my discover card and didn't realize that the charges had been made until several months later. I reported the fraudulent charges as soon as I became aware of them. The charges were {$980.00} at XXXX XXXX,0
XX/XX/23 called the service number to get access for online,0
Deceptive XXXX XXXX and XXXX : I entered into a contract with XXXX based on explicit promises,0
In example : Purchase XXXX for {$250.00} from Company XXXX made XXXX with a XXXX interest promo expiration of XX/XX/XXXX Purchase XXXX for {$300.00} from Company XXXX made XXXX with a XXXX interest promo expiration of XX/XX/XXXX Item returned to Company XXXX for {$75.00} credit,0
i do not like to be in debt and this is like unwillingly pulling me in that.,0
1026.16 ( d ) ( 6 ) ( ii ) ( C ) ( C ) In the case of a promotional payment,0
This is unacceptable.,0
XX/XX/XXXX week,0
Disclosure : By providing your mobile number,0
"Today is the XXXX day so I called about XXXX minutes ago to get the status of XXXX 's investigation. I was told by a phone representative that they had a \\\" system issue '' that affected a large number of customers and that there is \\\" no timeframe '' for when it will be resolved. After escalating my complaint to a supervisor named \\\" XXXX XXXX ''",0
According to XXXX  XXXX XXXX online bill pay ( whom we use ) a check in the amount of {$15000.00} was initiatied on XX/XX/XXXX and cut on XX/XX/XXXX.,0
If you require any additional information or documentation to facilitate this process,0
Addresses listed for delivery of the fraudulent orders (I do not know these people or their locations):,0
I had been looking at the XXXX XXXX XXXX XXXX machines for some time. On that day I purchased a XXXX XXXX machine. The cost including tax was {$2400.00}. ( Copy of Receipt enclosed ) Not a small amount for me as I am retired and living on a limited income.,0
Obviously,0
Long version : XX/XX/XXXX  Applied for Apple Card. The application was approved with a {$8500.00} credit limit.,0
During the call,0
Phone 2 : XXXX? I called the company when I saw an interest amount charged.,0
I called Chase ( credit card ) after not seeing a refund on the credit statement.They told me that XXXX has 30 days to refund my money. After 30 days i didn't receive the money so i called them. ( Chase ) They told me to wait another 30 days. I have sent many secure emails to them. Also they told me they are busy?? About 2 weeks ago i called Chase Fraud line.They took all the information. At this point ( over 70 days ) i don't know who is at fault.Although XXXX sent me an email after i filed a claim that they returned the money to Chase.,0
Negative Credit Impact : This reporting affects the customer 's credit report and potentially lowers their credit score,0
Reasons were : Length of credit history ( I have had credit card with Citi/Home Depot alone for 3 years ) Payment pattern on account,0
Unresponsiveness to Redress : Multiple attempts to contact XXXX and resolve these issues proved futile. This unresponsiveness reveals a clear absence of a redress mechanism,0
I proceeded to fill out the instant credit application. A few minutes later,0
"Wells Fargo lied to me about my identity theft alert not affecting my ability apply for financing with them. Wells Fargo denied me credit claiming they \\\" could not authenticate identity of applicant",0
15 U.S.C. 1681A ; Paragraph 2,0
XXXX ) I hold Capitalone liable for my loss for allowing XXXX party payments without validation and then also for readily posting the return payments as chargeback against my account without any investigation.,0
No if I blatantly made the charge and found out interest accrued,0
1 ) At the time of the transaction at the Macys store on XXXX XXXX,0
My case ID for this interaction is XXXX.,0
15. Presently available details of the above actions of Citi bank/Best Buy have been submitted in this complaint. However,0
This is so far beyond outside the scope of any person let alone any business to be doing if they do not know me. It is unprofessional and it is unacceptable for any reason whatsoever.,0
Here 's a full breakdown of how I paid off my entire balance within three months : In XXXX of XXXX,0
If I was to wire {$250.00},0
The current balance with interest charges and late fees is now {$12000.00}. Copy enclosed.,0
Below is the letter I sent to Chase. There has been no resolution and Chase continues to assert we are responsible for this charge even though the product paid for was never delivered.,0
The last representative that I spoke to in the XXXX XXXX escalation line was rude and combative and should be transferred out of that role.,0
We were getting ready to make a long trip for a family reunion and would be gone for 3 weeks. Right before I left,0
I notified your billing department in XXXX that I was disputing the original charge of {$58.00},0
Cancellation on XX/XX/2023 : Risk Analysis Teams Decision : The card was terminated without prior notice or explanation.,0
XXXX Called to check status. Talked to XXXX. Told that XXXX never sent me any of the paperwork but it would now be sent.,0
Not only was I never notified in writing of these changes in my credit lines,0
-- Our reservation was for XXXX XXXX.,0
I requested that they approve the virtual card for the account like my other 3,0
I have made several attempts to contact Synchrony Bank to discuss this issue,0
And after 2 months ( XXXXXXXX XXXX ),0
The funeral home sent a letter with all the details of their account as the casket arrived to them damaged and couldn't be used. I sent pictures of the broken casket to the merchant and all of the documents,0
I always liked TD Bank. Never had a problem till now. Please have them REMOVE all Fees and late Charges. Contact credit agency and restore my good credit. My credit score right now is XXXX!!! Also reinstate my {$16000.00} line of credit and issue me a new charge card!!,0
( Please reference Exhibit XXXX ) On XXXX,0
I want them to listen to the 2 phone calls I had with their associates : The first one in which I asked if I would be charged again and the second one in which their associate treated me aggressively and with discrimination.,0
I believe that my concerns and requests have been handled in a manner that is not only dismissive but also discriminatory. This has left me with the disturbing feeling that my treatment may be based on my race,0
I am very disappointed with the way that Bank of America has handled this situation. I have been a loyal customer for many years,0
Citi asked me to confirm that the card was in our ( me and my wife ) possession.,0
4 ) Chase needs to take complete responsibility and contact the three merchants listed above to insure they received the money that Chase claims they returned. That will allow those merchants to refund {$1000.00} owed me. It wasnt my mistake and I shouldnt have been the one to prove to the above merchants that Chase returned their money ; though I tried numerous times.,0
AMEX is ILLEGALLY charging interest on charges made to a credit card WITHOUT notifying the consumer ( ME ) and before the statement due date ( without any notification,0
Each month after I had PAID MY FINAL BALANCE OF XXXX XXXX ( 18 ) I have tried for months speaking with different customer service agents at DiscoverXXXX credit cards co. ( 19 ) EACH MONTH AFTER THAT DISCOVERXXXX  KEEP ADDING XXXX XXXX late fees to the account already paid off. ( 20 ) DiscoverXXXX also reported my account to the reporting agencies that I have not been paid my account. ( 21 ) This information is incorrect and because of their reporting MY PAID OFF ACCOUNT AS BEING LATE MY SCORE HAVE DROPPED OVER XXXX XXXX ( 22 ) DISCOVERY HAVE BEEN CHARGING ME LATE FEES OF XXXX XXXX  EACH MONTH,0
I've also attached a screenshot from Credit strong where I make 10x the payment to them each month that grow credit says I don't have in my bank account.,0
2. ) I booked an American Airlines ticket as well.,0
I received a call XX/XX/XXXXXXXX  stating payment had not been received. I was moving that day and did not have access to my info.,0
I have attempted to resolve this issue directly with Wells Fargo,0
There was no warning of this change of terms allowing time to read and understand them before they came into effect. I am instantly,0
We reached out to XXXX  as soon as we discovered the issue - that same day that the unknown,0
I have just changed my email contact address on the today in an effort to thwart fraudulent efforts to obtain the rewards.,0
To best assist,0
The account that im talking about is the one opened on XX/XX/2022 for {$210.00}.,0
( 3 ) Acceleration of debt and restriction of account prohibited. A creditor shall not accelerate any part of the consumer 's indebtedness or restrict or close a consumer 's account solely because the consumer has exercised in good faith rights provided by this section. A creditor may be subject to the forfeiture penalty under 15 U.S.C. 1666 ( e ) for failure to comply with any of the requirements of this section.,0
XX/XX/XXXX XXXX - I checked to see who called from XXXX. No message left.,0
I dont have access to any more information on the details of the particular promotional period I was enrolled in either from Synchrony Bank/Care Credit nor my XXXX account. The app used to make payments offered no further information,0
Also Wells Fargo is bankrupt and has no standing. and the person signing the XXXX is XXXX and makes it a foreign entity trying to interfere. The document doesn't appear to show an amount,0
Yup yup 33 minutes ago Agent profile picture Discover I definitely understand and what is the dispute amount and date?,0
After going through multiple rounds of contact with American Express,0
XXXX email notice came in with late and interest charges {$52.00} charge was paid that same day.,0
I suspect they want me to hold a balance so that they may charge me interest. Which should be a civil offense that should garner legal action. It is a morally corrupt system they have in place and I would have to deal with this for at least 6 months according to them before they can approve my payments any faster.,0
I have not activated this card.,0
All the details/documents for these disputes were provided to Capital One in XXXX and XXXX. We have paid all legitimate charges that we made to our account in full to Capital One. Yet they did not remove disputed fraudulent charges from our account,0
Discover : You are not able to make a payment towards your principal balance.,0
The distressing part is this. I applied for credit to get interest free payments for 1 year through Synchrony Bank. My Credit was approved for {$10000.00}. The sales lady ( XXXX XXXX? ) then used the credit card number to make the purchase. She kept having trouble with the credit terminal and kept repeating the charge saying it was not going through. I asked her Are you sure you are not charging me 3x for the same machine? Her reply was no she was not because she was not getting a receipt of sale from the terminal.,0
The travel agent told me that one of the 3 rooms payments for approximately {$29000.00} was cancelled by the Credit Card Company even though I had the full balance in my account less the approximately {$5000.00} applied to my credit card bill which I did not authorize. In any case,0
I have spent hundreds of thousands of dollars and paid thousands of dollars in both annual fees and merchant transaction fees,0
Capital One then requested a signed letter including a statement which was sent then received. The letter requested a written deadline of XX/XX/2023 This is not possible due to the fact the letter was received and sent after the deadline after XX/XX/2023. ( Please refer to attachment circled sections : letter dated XX/XX/2023 ) I provided in the statement letter all the information requested including the name of merchant transaction amount and date with the case number. And was told that the letter was received after the deadline and the letter lacks all the information previously requested. Capital One then denied the claim.,0
The payments never transfered showing no payments were made ; though every month showing I upped the payment by XXXX to cover last month 's fake late fees.,0
Note : Again here,0
See all forms and statuses attached.,0
After not seeing an immediate credit,0
Chase promised to LOCK my account,0
- I opened the Care Credit acct to make one purchase of XXXX offered at a 36 month promotional/deferred interest period. A payment plan was set up to pay off XXXX $ a month,0
No follow up happened and the statements keep coming. I have asked them to make sure communications are going to the right place but every message I get is from a different person and it seems that there is no continuity of information at Wayfair.,0
"The letter stated \\\" We will provide you with the documentation we used to make the determination",0
The second agreement was 10 pages.,0
"The agent on the phone refused to help me any further and instead could only give me the investor relations address of American Express : \\\" XXXX XXXXXXXX",0
After several more phone calls over the next few weeks,0
My credit score is XXXX.,0
So what I am now doing is sending this issue with our support group. Kindly stand by for me.,0
I request your assistance in investigating this matter and ensuring that American Express honors their promotional commitment by granting me the XXXX bonus miles. Your prompt attention to this issue would be greatly appreciated.,0
I was instantly approved by Avant for the new credit card and at the exact moment ( instantly ) that I received a confirmation email for said approval,0
They are misleading people to apply for new cards under false pretenses PERIOD.,0
"We consider this a \\\" predatory practice '' by Wells Fargo ( and others ). It is designed to hope borrowers forget the date upon which they have to pay the balance and have an immense amount of interest charged to them. We believe that their lending practice should include some type of reminder and warning that this will take place if the balance is not reduced or eliminated.",0
Description : While PayPal engages with a myriad of financial instruments,0
I have never had any issues since I have opened an account in the XXXX.,0
IF MY MAIL IS MISSDELIVERED,0
I have closed my Discover account after spending hours on this matter. I will pay my bill thus far in full minus the {$99.00}.,0
Thank you.,0
American Express is alleging that a customer can not rely on the instructions they provide by phone.,0
What I want now from Bank of America is not the credit card anymore,0
The charge was disputed,0
Then XXXX responded to Discover with what appeared to be an illegible written note. Discover ruled in my favor. Then about 3 weeks later I checked the dispute and Discover ruled in the merchant 's favor and they refused to talk to me or provide any evidence.,0
The only document that was sent to me in writing was the 'Credit Card Account Agreement'- Terms for the lending agreement.,0
To make matters worse,0
15 U.S.C. 1681 Section 604 A,0
THESE TWO ACCOUNTS SHOULD BE WIPED CLEAN AND CLOSED AND NOT BE ASSOCIATED WITH US,0
So I make sure to only pay my interest saving balance.,0
Company : Bread Financial/Comenity Capital Bank XXXX XXXX of XXXX & XXXX XXXX Credit card Date of First Contact : XX/XX/2023 Synopsis of First Contact : Provided detailed evidence of returned defective merchandise,0
"Every time they told me to wait for an \\\" escalation '' and check back later. Nothing ever happened.",0
4. Code of Federal Regulations ( CFR ) : The CFR is a codification of rules and regulations issued by federal agencies. Title 12 of the CFR,0
4. This record has revealed deliberate fraudulent entries to the complainants credit card account. False interest charges and penalties were imposed and answers were ridiculously evaded,0
This person sounds unhinged and I am afraid he has access to home address,0
Yet again,0
I am at my wits endYou all have a deficit in your process. It should not take this long and this much confusion to credit a mistake made by the sales clerk at XXXX or for Synchrony Bank to rectify it.,0
Then on XX/XX/XXXX statement,0
I recommend that no one use Comenity Capital Bank. They refused to cooperate and ended up charging me XXXX and a promise to continue to charge late fees.,0
I have contacted both Elan Financial Services and XXXX XXXX numerous times today with no results. Both are pointing the finger at each other. XXXX XXXX will give no info as I have no account,0
From my understanding which I could be wrong is that you have to activate your cards before they can appear on your credit report,0
"I spoke to the Doctor 's office. They said they never offered a \\\" Promotion '' nor have a copy of the promotion disclosure.",0
I opened account on XX/XX/XXXX. However,0
Not only this,0
Resolution/Outcome : Advised to reconvene after 42 hours to investigate the possibility of a refund for accrued points and annual fees.,0
I contacted and froze all credit Burroughs and started disputes,0
XX/XX/XXXX I received another email from Target stating again that my payment was returned and my account was past due. I was confused as I paid off the balance off on XX/XX/XXXX and did not make anymore purchases since. Targets May statement showed a previous balance of {$11.00} plus Fees charge of {$13.00} total balance due of {$23.00}. So I checked my bank account and realized that Target did not withdraw the {$11.00} from my account on due date,0
I want to know when my credit union decided that it was going to be my judge jury and executioner on my claim that I was being frauded by a specific merchant. I have a bank account with a bank to make sure that I am protected at all times from companies that are out to do wrong. I was then told that there was only one way that there could be fraud and that was if somebody stole my identity and used my cards against my will. I know for a fact that fraud is when somebody is offering something service product or anything else that is not up to the standard that they are offering it at. I continue to argue back and forth with the representative at my bank who was not willing to listen or hear me out on why I thought that it should move forward and was told because I had mistakenly placed it as a dispute not fraud from the beginning that it could not be changed. When did it become okay for my bank to tell me that due process to protect me would not be available.,0
I am not currently in the US. While I was away from home traveling,0
On my XXXX statement it included the amount of {$10000.00} as the XXXX XXXX XXXX. The Payment due date is XX/XX/XXXX. I paid {$11000.00} on XX/XX/XXXX.,0
We have looked at the credit card agreement ( attached ) and in the special terms area,0
We attempted to resolve with XXXX while in XXXX and then again upon our return. The only thing we received was a {$25.00} voucher as an apology. We spent {$1900.00} times 2 for these upgrades and that is not acceptable.,0
. I can not pay on a {$0.00} balance so they default and need to reverse,0
I had a conference call with an Amex agent and a XXXX  agent at XXXXXXXX XXXX. The XXXX agent said- '' I see,0
chase is a predatory financial corporation. they dont even allow their OWN customers login!,0
I reached out to capital one to regain access to the online portal and they several times had me scan my ID and SSN card when they got it back they kept claiming that it is blurry and they can not unlock my online account. when I asked to receive statements they refuse to send them to me and told me that I can pay by phone. I advised them that it is my right to see the statement of charges before I make any payment.,0
The {$250.00} and any interest would be included on my account balance by my next statement date.,0
XXXX that no future unauthorized attempts will be made on my account.,0
The customer service representative made me repeat three times the address of the US Post Office that I sent the package from. I spelled the address and repeated over and over. This person then proceeded to telling me that a manager from the shipping post office would reach out to explain what had happened and that I could only be refunded if I filed a personal complaint about the teller who had processed the order.,0
I kindly request the refund of of {$8600.00},0
I want to repoen these accounts or just one,0
Chase Bank did not inform me that my card would only be charged for 12 months,0
I've emailed full evidence of this to the CEO,0
Please see emails and civil complaint attached. The civil complaint will show that in XXXX of XXXX,0
Citi Custom Cash card ending in XXXX ( account since XX/XX/XXXX ) - Credit limit of {$6400.00} with the current balance of - {$96.00} Restore my previous Thank you rewards of XXXX Thank you points.,0
Delivery and receipt of the couch in question never occurred and yet the company in question is actively in business and a recent visit to their store shows the nearly identical couch for sale on the showroom floor.,0
In addition to that it took basically two months,0
Synchrony bank owns Lowes,0
XXXX ) I made good those 4 returned payments out of my own pocket but it was falsely interpreted by Capitalone as if the Merchant credited my account. I made good those returned payments because I didnt want to lose my Capitalone credit card while I was sick recovering from the XXXX XXXX. I was also afraid that my credit score would plummet if I didnt make good those returned payments. I was definitely planning to take up the case with Capitalone as soon as my health would permit.,0
One charge was for {$740.00},0
I appreciate your attention to this matter and request your prompt assistance in resolving this dispute. Your intervention is crucial in ensuring a fair and just resolution.,0
Thank you for your cooperation.,0
The last charge I had on the card was {$8.00} on XX/XX/XXXX.,0
Several days later ( XX/XX/XXXX ) I received an a-mail from Synchrony that my payment for this {$710.00} had processed. But,0
On XX/XX/XXXX  at XXXX hours,0
The fraudulent charges were made XXXX XX/XX/XXXX. There were pending charges after the 17th that never hit the account,0
This whole ordeal needs to be clarified because the case seemed prematurely closed without thoroughly reviewing the documentation I provided. In fact,0
For their part,0
I kindly request that Consumer Financial Protection Bureau investigate this matter promptly and take the necessary steps to rectify the situation. I also request that you keep me informed of the progress and resolution of this complaint.,0
I filed a dispute with my credit card company ( Discover ). They denied my dispute before I was even able to get a copy of the police report. The report just became available and I uploaded it. I was unable to upload the bodycam footage through the dispute portal. Discover is refusing to issue a refund despite all of the evidence provided including the new evidence. I have now been forced to purchase a second wedding dress and I can not afford two wedding dresses. Despite uploading the police report,0
This is an unacceptable business practice on Citi 's part. I did want to loose my miles,0
XXXX XXXX XXXX said she sent the statements to that address. If that was the case why have I not received any statements?,0
You will need : A valid state-issued ID or government-issued drivers license. A cell phone or tablet that can receive text messages and take pictures.,0
The problem is that United 's process does not involve either of those things. United instructed me to file a claim over the phone which then redirected me to their text-message based customer service system. It is via their text-message-based system that my claim for damages was filed,0
I called the bank customer service and asked if that amount would be charged again and the associate I spoke with said it wouldn't because she could not see anything to be charged on her system and I would have to reschedule a new payment manually.,0
Per Apple Cards Response to the original complaint : The Bank received a document on XX/XX/2023,0
Don't worry about payment in the meantimewe 've placed a hold on this transaction while your dispute remains open.,0
OVERVIEW,0
when you click on have a question,0
The customer service representative stated Based on my purchase history they arrived at the conclusion it was me. WHAT?!,0
Should take another 3 -5 business days to conclude.,0
4 ) See XXXX statement! Bill was now {$83.00}. I also received a letter dated XXXX from TD Bank stating my {$16000.00} line of credit had been lowered to {$500.00} and my credit score was now XXXX!! See attached. I immediately called TD Bank on XX/XX/23 when I received this XXXX statement and by chance got XXXX. She remembered me,0
If you haven't signed up for Paypal Business call immediately at XXXX as this may be a case of identity theft.,0
On XX/XX/XXXX the work was preformed and I called to cancel my dispute with the Merchant I was then instructed by your team the adjustment on my account would be removed,0
ALL ATTEMPTS TO MAKE THEM CORRECT THEIR MISTAKE WERE MET WITH INSINUATIONS,0
This is really a summary of what has gone on and it is stressing me out and effecting my health. Please any help you can give me will be greatly accepted. Im at a loss for what to do next. I should not have to pay for something that does not belong to me. I need someone with legal leverage to come in and help.,0
The first attempted call I was given no information. I was told my voice sounded robotic and asked to turn off my speaker phone. When this failed to resolve the problem I was told to hang up and try calling from another device. This has happened on previous calls to chase and seems to be a delay/frustration tactic to keep people from their money.,0
* XXXX XX/XX/XXXX card ending XXXX and XX/XX/XXXX card ending XXXX statements.,0
My XXXX  and I went inside the airport,0
He subscribed to 6 Fast Feed Accounts ( valued at XXXX USD per account ). Customer therefore had 6 active subscriptions starting from XXXX XX/XX/2023 until XXXX XX/XX/2023.,0
I immediately contacted Capital One the following Monday,0
These mortgage companies are also participating in the Truth and Lending Act and I know the law.,0
Issue # 2 - when connected with a service representative,0
I called back on XX/XX/2023 spoke with XXXX from tennessee explained to her the entire situtation she researched and found there was a error as well with direct payments,0
They terminated the support for Bank of The west app and forced me to apply for BMO account. It was possible only via web interface.,0
On the next invoice generated for XXXX XXXX XXXX,0
There is zero mention of the potential impact to consumer credit as a result of this change,0
I received communications ( attached ) saying that they opened a case and were investigating.,0
2. MY SISTER IS GETTING MARRIED XXXX  IN XXXX AND I WANTED TO USE THE POINTS TO HELP WITH BOOKING MY HOTEL ACCOMMODATIONS WHILE ATTENDING HER WEDDING WHICH THIS CARD ALLOWS USING POINTS ON VARIOUS HOTELS.,0
I opened 2 claims with Wells Fargo,0
( i ) A statement that interest will be charged from the date the consumer becomes obligated for the balance or transaction subject to the deferred interest offer if the balance or transaction is not paid in full within the deferred interest period ; and ( ii ) A statement,0
I didn't even know anything about this until I went to purchase a home.,0
when I called the customer service representatives just keep transferring me around.,0
Navigating the Fog : Our endeavors for straightforward communication with American Express 's divisions often find us amidst murkiness,0
I implore the relevant authorities to oversee and manage this situation,0
At that point,0
Now a new bill for two months had been generated and I was told the problem was with my bank. I contacted my bank and was told it was not a problem on their end. I called Citi with this information and they waived late fees and suggested I try to reenter all my information with Citis third party service. I did and it took several tries but the full two month payment finally went through.,0
On account # XXXX they are offering the same amount XXXX for the alleged {$37000.00}. I called their XXXX XXXX XXXX and did not get anywhere with the representative that took my call.,0
XXXX hours later,0
My last paycheck for the summertime hours was only {$140.00}.,0
"- On XX/XX/XXXX a vendor titled \\\" XXXX XXXX  XXXX XXXX XXXX XXXX made a charge of {$590.00} using my Chase card information. This is the fraudulent charge in question.",0
